u,v,key,osmid,ref,name,highway,maxspeed,oneway,length,org_geom,lanes,junction,bridge,access,service,geometry
974139008,6913204136,0,35877728,A4130,Fairmile,primary,60 mph,False,320.38000000000005,"LINESTRING (-0.917625 51.5485484, -0.9177866 51.5486613, -0.9189326 51.5494459, -0.9204224 51.5504829, -0.9207195 51.5506928)",,,,,,"[(-0.917625, 51.5485484), (-0.9177866, 51.5486613), (-0.9189326, 51.5494459), (-0.9204224, 51.5504829), (-0.9207195, 51.5506928)]"
974139008,974156855,0,35877728,A4130,Fairmile,primary,60 mph,False,168.542,"LINESTRING (-0.917625 51.5485484, -0.9173568 51.5483677, -0.9161702 51.5475824, -0.9159663 51.5474379)",,,,,,"[(-0.917625, 51.5485484), (-0.9173568, 51.5483677), (-0.9161702, 51.5475824), (-0.9159663, 51.5474379)]"
974139230,6911243098,0,83653476,,Lambridge Wood Road,residential,30 mph,False,10.253,"LINESTRING (-0.9195865 51.5471631, -0.9197328 51.5471781)",,,,,,"[(-0.9195865, 51.5471631), (-0.9197328, 51.5471781)]"
974139230,6706189515,0,83653476,,Lambridge Wood Road,residential,30 mph,False,75.39000000000001,"LINESTRING (-0.9195865 51.5471631, -0.9192194 51.5471253, -0.9189834 51.547132, -0.9188332 51.5472054, -0.9188332 51.5473054, -0.9188162 51.5473856)",,,,,,"[(-0.9195865, 51.5471631), (-0.9192194, 51.5471253), (-0.9189834, 51.547132), (-0.9188332, 51.5472054), (-0.9188332, 51.5473054), (-0.9188162, 51.5473856)]"
974139230,974139000,0,83653492,,,footway,,False,93.595,"LINESTRING (-0.9195865 51.5471631, -0.9193052 51.547212, -0.9191657 51.5472521, -0.9190798999999999 51.5473121, -0.9190155 51.5473922, -0.9189512 51.5474922, -0.9188975 51.547579, -0.9188546 51.5476791, -0.9187418000000001 51.5477361)",,,,,,"[(-0.9195865, 51.5471631), (-0.9193052, 51.547212), (-0.9191657, 51.5472521), (-0.9190799, 51.5473121), (-0.9190155, 51.5473922), (-0.9189512, 51.5474922), (-0.9188975, 51.547579), (-0.9188546, 51.5476791), (-0.9187418, 51.5477361)]"
974145114,974138966,0,83654603,,,path,,False,62.694,"LINESTRING (-0.926343 51.5485778, -0.9254999 51.5483704)",,,,,,"[(-0.926343, 51.5485778), (-0.9254999, 51.5483704)]"
974145114,4060277484,0,403692031,,,path,,False,183.68099999999998,"LINESTRING (-0.926343 51.5485778, -0.9262825 51.5489293, -0.9266525 51.5492023, -0.9270734 51.5494076, -0.9275487 51.5495407, -0.9279587 51.5496671)",,,,,,"[(-0.926343, 51.5485778), (-0.9262825, 51.5489293), (-0.9266525, 51.5492023), (-0.9270734, 51.5494076), (-0.9275487, 51.5495407), (-0.9279587, 51.5496671)]"
974145597,974145675,0,83654705,,Lambridge Wood Road,service,,False,48.44,"LINESTRING (-0.9227746999999999 51.5476693, -0.9232320000000001 51.5479993)",,,,,,"[(-0.9227747, 51.5476693), (-0.923232, 51.5479993)]"
974145597,974138855,0,83654696,,Lambridge Wood Road,service,,False,21.325000000000003,"LINESTRING (-0.9227746999999999 51.5476693, -0.9228098 51.5476503, -0.9228429 51.5476044, -0.9228258 51.5475471, -0.9227880000000001 51.5474982)",,,,,,"[(-0.9227747, 51.5476693), (-0.9228098, 51.5476503), (-0.9228429, 51.5476044), (-0.9228258, 51.5475471), (-0.922788, 51.5474982)]"
974145597,974145670,0,83654705,,Lambridge Wood Road,service,,False,25.767,"LINESTRING (-0.9227746999999999 51.5476693, -0.9227195 51.5476651, -0.9226097 51.5476257, -0.9225911999999999 51.5475847, -0.9225646 51.5475108)",,,,,,"[(-0.9227747, 51.5476693), (-0.9227195, 51.5476651), (-0.9226097, 51.5476257), (-0.9225912, 51.5475847), (-0.9225646, 51.5475108)]"
